id,firstname,lastname,username,password,role,accessstart,accessend,access_dates
1,Admin,xyz,admin,admin123,admin,00:00:00,24:00:00,
2,Rohit,xyz,rohit,rohit123,user,02:55,13:41,2025-08-26|2025-08-27

1,Admin,xyz,admin,admin123,admin,00:00:00,24:00:00,
2,Rohit,xyz,rohit,rohit123,user,02:55,13:41,2025-08-26|2025-08-27
1,Admin,xyz,admin,admin123,admin,00:00:00,24:00:00,
2,Rohit,xyz,rohit,rohit123,user,02:55,13:41,2025-08-26|2025-08-27
1,Admin,xyz,admin,admin123,admin,00:00:00,24:00:00,
2,Rohit,xyz,rohit,rohit123,user,02:55,13:41,2025-08-26|2025-08-27
3,Aman,Deep,aman,aman123,user,18:51,19:55,2025-08-27|2025-08-28
